Year,Month,Town,Category,Value
2018,09,BUKIT PANJANG,Minimum Price,300000.00
2018,09,BUKIT PANJANG,Average Price,449574.40
2018,09,BUKIT PANJANG,Standard Deviation of Price,108287.70
2018,09,BUKIT PANJANG,Minimum Price per Square Meter,2932.69
