Year,Month,Town,Category,Value
2019,02,YISHUN,Minimum Price,258000.00
2019,02,YISHUN,Average Price,407644.79
2019,02,YISHUN,Standard Deviation of Price,115020.14
2019,02,YISHUN,Minimum Price per Square Meter,2855.77
