Year,Month,Town,Category,Value
2021,09,BUKIT PANJANG,Minimum Price,368000.00
2021,09,BUKIT PANJANG,Average Price,542003.45
2021,09,BUKIT PANJANG,Standard Deviation of Price,114878.93
2021,09,BUKIT PANJANG,Minimum Price per Square Meter,3278.69
